Date,Population (P),Cumulative_cases,Cumulative_deaths
2/1/2020 0:00,10257557,14,0
2/2/2020 0:00,10257557,18,0
2/3/2020 0:00,10257557,22,0
2/4/2020 0:00,10257557,23,0
2/5/2020 0:00,10257557,23,0
2/6/2020 0:00,10257557,23,0
2/7/2020 0:00,10257557,24,0
2/8/2020 0:00,10257557,25,0
2/9/2020 0:00,10257557,28,0
2/10/2020 0:00,10257557,29,0
2/11/2020 0:00,10257557,31,0
2/12/2020 0:00,10257557,31,0
2/13/2020 0:00,10257557,32,0
2/14/2020 0:00,10257557,35,0
2/15/2020 0:00,10257557,40,0
2/16/2020 0:00,10257557,43,0
2/17/2020 0:00,10257557,48,0
2/18/2020 0:00,10257557,51,0
2/19/2020 0:00,10257557,54,0
2/20/2020 0:00,10257557,56,0
2/21/2020 0:00,10257557,57,0
2/22/2020 0:00,10257557,61,0
2/23/2020 0:00,10257557,63,0
2/24/2020 0:00,10257557,71,0
2/25/2020 0:00,10257557,77,0
2/26/2020 0:00,10257557,89,0
2/27/2020 0:00,10257557,95,0
2/28/2020 0:00,10257557,103,0
2/29/2020 0:00,10257557,111,0
3/1/2020 0:00,10257557,139,0
3/2/2020 0:00,10257557,158,0
3/3/2020 0:00,10257557,173,0
3/4/2020 0:00,10257557,192,0
3/5/2020 0:00,10257557,228,0
3/6/2020 0:00,10257557,275,0
3/7/2020 0:00,10257557,318,0
3/8/2020 0:00,10257557,369,0
3/9/2020 0:00,10257557,464,0
3/10/2020 0:00,10257557,568,0
3/11/2020 0:00,10257557,704,0
3/12/2020 0:00,10257557,877,0
3/13/2020 0:00,10257557,1041,0
3/14/2020 0:00,10257557,1198,0
3/15/2020 0:00,10257557,1380,0
3/16/2020 0:00,10257557,1628,1
3/17/2020 0:00,10257557,1866,1
3/18/2020 0:00,10257557,2075,1
3/19/2020 0:00,10257557,2320,5
3/20/2020 0:00,10257557,2610,8
3/21/2020 0:00,10257557,2838,12
3/22/2020 0:00,10257557,3114,16
3/23/2020 0:00,10257557,3444,23
3/24/2020 0:00,10257557,3752,27
3/25/2020 0:00,10257557,4196,33
3/26/2020 0:00,10257557,4596,37
3/27/2020 0:00,10257557,5003,46
3/28/2020 0:00,10257557,5411,55
3/29/2020 0:00,10257557,5796,71
3/30/2020 0:00,10257557,6446,81
3/31/2020 0:00,10257557,7108,99
4/1/2020 0:00,10257557,7772,119
4/2/2020 0:00,10257557,8420,141
4/3/2020 0:00,10257557,9247,168
4/4/2020 0:00,10257557,9861,189
4/5/2020 0:00,10257557,10476,215
4/6/2020 0:00,10257557,11044,232
4/7/2020 0:00,10257557,11774,258
4/8/2020 0:00,10257557,12425,301
4/9/2020 0:00,10257557,13022,342
4/10/2020 0:00,10257557,13650,372
4/11/2020 0:00,10257557,14170,407
4/12/2020 0:00,10257557,14644,445
4/13/2020 0:00,10257557,15365,492
4/14/2020 0:00,10257557,16086,542
4/15/2020 0:00,10257557,16979,580
4/16/2020 0:00,10257557,17801,642
4/17/2020 0:00,10257557,18693,686
4/18/2020 0:00,10257557,19333,729
4/19/2020 0:00,10257557,19862,770
4/20/2020 0:00,10257557,20869,818
4/21/2020 0:00,10257557,21780,862
4/22/2020 0:00,10257557,22643,914
4/23/2020 0:00,10257557,23669,965
4/24/2020 0:00,10257557,24731,1009
4/25/2020 0:00,10257557,25661,1052
4/26/2020 0:00,10257557,26294,1097
4/27/2020 0:00,10257557,27449,1140
4/28/2020 0:00,10257557,28469,1198
4/29/2020 0:00,10257557,29532,1244
4/30/2020 0:00,10257557,30509,1296
5/1/2020 0:00,10257557,31518,1338
5/2/2020 0:00,10257557,32274,1388
5/3/2020 0:00,10257557,32804,1432
5/4/2020 0:00,10257557,33761,1480
5/5/2020 0:00,10257557,35044,1519
5/6/2020 0:00,10257557,36112,1573
5/7/2020 0:00,10257557,37113,1624
5/8/2020 0:00,10257557,38234,1675
5/9/2020 0:00,10257557,38968,1731
5/10/2020 0:00,10257557,39589,1766
5/11/2020 0:00,10257557,40848,1799
5/12/2020 0:00,10257557,42031,1849
5/13/2020 0:00,10257557,43024,1895
5/14/2020 0:00,10257557,44336,1929
5/15/2020 0:00,10257557,45508,1976
5/16/2020 0:00,10257557,46296,2032
5/17/2020 0:00,10257557,46870,2077
5/18/2020 0:00,10257557,48111,2128
5/19/2020 0:00,10257557,49137,2178
5/20/2020 0:00,10257557,50341,2210
5/21/2020 0:00,10257557,51331,2241
5/22/2020 0:00,10257557,52371,2291
5/23/2020 0:00,10257557,53168,2328
5/24/2020 0:00,10257557,53713,2370
5/25/2020 0:00,10257557,54729,2402
5/26/2020 0:00,10257557,56542,2445
5/27/2020 0:00,10257557,58008,2499
5/28/2020 0:00,10257557,59379,2532
5/29/2020 0:00,10257557,60955,2569
5/30/2020 0:00,10257557,61911,2609
5/31/2020 0:00,10257557,62446,2643
6/1/2020 0:00,10257557,63741,2687
6/2/2020 0:00,10257557,65215,2720
6/3/2020 0:00,10257557,66617,2766
6/4/2020 0:00,10257557,68216,2814
